,FlowSOM_metacluster_V1,FlowSOM_metacluster_1,FlowSOM_metacluster_10,FlowSOM_metacluster_11,FlowSOM_metacluster_12,FlowSOM_metacluster_13,FlowSOM_metacluster_14,FlowSOM_metacluster_15,FlowSOM_metacluster_16,FlowSOM_metacluster_17,FlowSOM_metacluster_18,FlowSOM_metacluster_19,FlowSOM_metacluster_2,FlowSOM_metacluster_20,FlowSOM_metacluster_21,FlowSOM_metacluster_22,FlowSOM_metacluster_23,FlowSOM_metacluster_24,FlowSOM_metacluster_25,FlowSOM_metacluster_26,FlowSOM_metacluster_27,FlowSOM_metacluster_28,FlowSOM_metacluster_29,FlowSOM_metacluster_3,FlowSOM_metacluster_30,FlowSOM_metacluster_31,FlowSOM_metacluster_32,FlowSOM_metacluster_33,FlowSOM_metacluster_34,FlowSOM_metacluster_35,FlowSOM_metacluster_36,FlowSOM_metacluster_37,FlowSOM_metacluster_38,FlowSOM_metacluster_39,FlowSOM_metacluster_4,FlowSOM_metacluster_40,FlowSOM_metacluster_5,FlowSOM_metacluster_6,FlowSOM_metacluster_7,FlowSOM_metacluster_8,FlowSOM_metacluster_9
39,P14_C1_D1_T_Cell_Panel,6,2662,93,1009,164,160,32,0,0,180,628,6878,120,1116,16,414,12,374,42,91,160,33,24746,146,21,101,1337,40,25,16,5051,401,72,2030,103,208,1699,43,100,33
40,P14_C1_D8_T_Cell_Panel,0,3403,2266,2147,271,971,10,693,793,313,1785,1576,282,2568,785,155,354,3589,986,60,4245,230,29111,729,95,101,12157,860,70,227,25,11,458,2785,3,1457,1049,1553,100,766
41,P14_C7_D22_T_Cell_Panel,0,4932,1211,3658,555,1545,13,2154,1966,515,3526,5636,609,1110,1188,293,609,7389,2210,169,5826,422,46322,1390,172,217,11573,962,107,484,53,36,1118,3492,11,1467,2911,2541,240,1027
42,P14_SPD_T_Cell_Panel,0,4158,754,1946,305,124,2,515,336,251,1545,720,231,783,575,138,232,3435,764,63,2921,143,18568,405,139,64,5116,675,51,236,5,1,356,10804,2,1486,785,346,24,118
43,P05_C12_D29_T_Cell_Panel,0,5424,91,1253,304,0,7,1,29,371,477,1894,137,139,775,32,27,2997,320,27,371,60,1570,735,163,50,496,147,17,37,2,19,469,1067,2,142,2355,15,32,29
44,P05_C1_D1_T_Cell_Panel,8,3456,68,2347,215,423,39,8,19,868,526,110645,112,108,77,1151,26,2283,212,94,383,298,29629,579,21,823,23,48,35,100,2700,3817,177,2262,1252,112,87745,326,2094,331
45,P05_C1_D8_T_Cell_Panel,0,14800,2056,5628,544,214,204,605,1728,1848,2320,42556,1384,369,3700,258,446,22372,1454,176,3471,633,91961,5163,763,427,5390,1680,544,806,19,224,3917,8233,52,2034,81803,1986,1539,923
46,P02_C1_D1_T_Cell_Panel,2279,3051,0,416,283,39,48,2,0,55,133,8043,189,228,68,51,6,292,6,25,544,247,1203,42,1,54,62,9,2,6,724,201,183,373,60,31,14,0,156,4
47,P02_C1_D8_T_Cell_Panel,0,9178,353,1366,642,11,5,3,8,90,243,4924,318,222,1265,19,35,1239,75,36,1321,383,13209,237,18,36,1795,96,12,22,1,1,354,1229,4,123,640,61,63,36
48,P02_C7_D1_T_Cell_Panel,0,9069,199,1545,726,45,4,2,46,108,387,4764,928,216,1026,47,42,1252,44,49,812,465,22535,135,5,12,2150,68,13,30,5,0,267,643,0,233,592,248,85,57
49,P02_C7_D22_T_Cell_Panel,0,1868,61,303,204,10,4,1,8,21,85,763,172,43,262,13,11,283,8,11,188,94,5586,28,1,5,472,12,4,3,0,0,50,160,1,41,125,54,5,18
50,P02_SPD_2_T_Cell_Panel,0,12507,431,4547,1661,103,16,54,77,219,1094,13179,1672,821,2945,198,178,3293,189,128,4500,1165,145140,449,42,46,5964,811,446,62,42,2,445,1616,3,702,3194,1175,671,183
51,P02_SPD_T_Cell_Panel,0,2112,82,376,450,21,6,0,0,28,171,602,349,52,406,13,4,567,23,40,469,148,3922,54,4,2,795,29,3,4,4,0,115,197,0,34,110,21,7,9
52,P01_C12_D29_T_Cell_Panel,0,4431,73,3681,368,26,27,2,9,260,1147,2360,85,110,188,19,48,3704,186,31,768,591,8639,1022,7,32,2036,79,23,88,98,42,520,1943,11,163,323,87,49,18
53,P01_C1_D1_T_Cell_Panel,8430,3052,2,2076,357,47,24,0,1,237,780,10457,75,181,152,139,17,1029,53,42,247,670,3334,267,0,429,62,37,3,42,2702,2664,244,1404,282,17,37,9,287,14
54,P01_C1_D8_T_Cell_Panel,0,10411,227,7370,1190,903,213,95,350,568,2034,5625,313,1859,4344,247,456,7215,356,83,10036,1035,110686,1758,21,92,3027,291,81,222,130,66,822,3210,11,8941,24249,1939,277,594
55,P01_C7_D1_T_Cell_Panel,0,3944,16,2282,176,14,0,3,7,35,395,182,64,47,145,18,35,1909,94,17,388,312,1851,655,9,18,1200,48,4,31,41,25,198,783,2,94,146,48,8,7
56,P01_C7_D22_T_Cell_Panel,0,1964,9,1300,157,2,5,0,4,39,340,439,39,24,62,10,18,1291,55,9,200,205,1541,262,4,10,586,23,5,15,14,11,177,278,1,33,65,14,17,5
57,P11_C12_D29_T_Cell_Panel,0,17258,1582,8747,1554,267,63,183,392,961,2034,20358,868,3040,1364,1386,227,9546,1025,350,4928,233,18017,7266,19,845,1511,3920,119,172,134,53,223,5114,2,808,2007,223,916,1426
58,P11_C1_D1_T_Cell_Panel,29734,10601,6,3470,1026,525,47,18,5,194,368,73950,182,522,131,266,22,748,38,150,243,29,31234,396,1,491,1,13,1,48,815,2892,34,4377,73,68,387,188,3563,46
59,P11_C1_D8_T_Cell_Panel,0,12114,2645,4669,2717,525,120,120,791,488,1942,122340,1230,1232,2308,66,130,12974,729,185,1357,28,56854,8277,34,779,1055,823,164,321,38,414,242,7778,4,413,6048,1438,5947,545
60,P11_C7_D1_T_Cell_Panel,0,5471,392,2054,814,47,72,30,141,176,768,4974,395,328,653,31,40,5052,436,146,373,7,18073,3733,12,358,422,426,39,136,8,43,113,3142,2,151,1464,405,360,620
61,P11_C7_D22_T_Cell_Panel,0,41406,2976,13458,4155,128,533,47,132,1400,4563,38782,2016,4578,5013,1356,171,23058,3167,685,3580,261,12685,19177,98,2814,1776,2425,173,496,63,134,479,17859,9,1326,3473,187,1217,633
62,P28_C1_D1_T_Cell_Panel,4525,6548,2,4361,235,179,33,33,7,527,1839,13403,145,133,14,419,11,1727,87,431,729,369,4442,303,29,436,1252,150,15,46,5155,5310,611,6744,594,16,125,38,819,24
63,P28_C1_D8_T_Cell_Panel,0,35300,1662,13077,642,107,21,32,46,461,2783,8147,678,474,459,403,261,37910,449,219,9027,466,13625,7769,325,302,44741,2671,324,229,930,844,4539,31531,76,382,707,133,154,170
64,P07_C12_D29_T_Cell_Panel,0,83626,32,10940,1357,663,2,10,19,2889,1118,32,695,1958,1853,301,182,8581,652,52,7377,433,3769,8869,78,98,19288,2901,41,82,1672,104,200,9209,21,692,62,238,12,210
65,P07_C1_D1_T_Cell_Panel,287,3443,0,516,80,8,1,0,0,119,91,1863,38,46,27,54,10,142,8,9,170,110,1151,263,0,57,81,20,1,6,1403,285,10,297,7,8,31,1,139,1
66,P07_C1_D8_T_Cell_Panel,0,3246,27,397,91,1,0,0,0,73,39,86,13,32,80,11,9,543,40,4,637,33,1326,762,4,11,1301,126,1,3,28,3,13,260,0,23,29,2,3,2
67,P07_C7_D1_T_Cell_Panel,0,5850,14,519,115,26,1,0,12,114,55,91,31,54,72,4,13,371,25,8,293,7,822,631,1,6,845,97,1,3,30,2,11,487,0,29,15,50,4,30
68,P07_C7_D22_T_Cell_Panel,0,12220,29,1701,153,134,5,8,39,250,211,207,62,176,202,30,29,1032,73,52,821,63,6094,1237,5,19,2174,242,1,16,103,9,35,1914,0,149,87,265,6,89
69,P15_C1_D8_T_Cell_Panel,0,54362,169,5416,370,66,11,235,300,358,385,428,841,1360,1303,898,137,1907,518,39,4540,62,19892,881,13,105,2339,4711,81,47,170,6,85,3157,15,1159,206,636,26,458
70,P20_C1_D8_T_Cell_Panel,0,11169,206,4106,703,419,31,106,765,287,783,262,1200,141,367,1869,1491,5831,375,145,2287,1220,43617,11608,92,82,3402,1349,256,1821,49,28,355,2228,6,43320,6568,9757,293,3458
