,Feature,Correlation,P-value
150,IL3RA,-0.14285714285714282,0.6115222287644655
82,FGF2,-0.14285714285714282,0.6115222287644655
141,IL27,-0.1464285714285714,0.602549920983054
167,LAMP3,-0.15,0.5936302027425882
200,SELE,-0.15,0.5936302027425882
173,LTA|LTB,-0.15,0.5936302027425882
130,IL19,-0.15357142857142855,0.5847640949410158
182,MMP9,-0.15714285714285714,0.5759526006037947
185,NAMPT,-0.1607142857142857,0.5671967045803448
125,IL17RA,-0.16428571428571426,0.5584973732486012
193,PDGFA,-0.1714285714285714,0.5412721760996331
163,KITLG,-0.175,0.5327481481378592
129,IL18R1,-0.175,0.5327481481378592
199,SDC1,-0.17857142857142855,0.5242843600465525
30,CCL4,-0.18214285714285713,0.5158816817070392
149,IL36G,-0.18214285714285713,0.5158816817070392
37,CD274,-0.1857142857142857,0.5075409629336737
91,GDF2,-0.1964285714285714,0.4828987562716336
232,TNFSF15,-0.19999999999999998,0.4748139645221684
156,IL6R,-0.19999999999999998,0.4748139645221684
152,IL4R,-0.20357142857142854,0.46679507248911234
189,OSM,-0.2071428571428571,0.4588428049634703
47,CD93,-0.21428571428571427,0.44314093482351424
174,MERTK,-0.2178571428571428,0.43539267351553756
59,CST7,-0.22142857142857136,0.42771371901637
138,IL22,-0.22499999999999998,0.420104686907635
67,CXCL11,-0.22499999999999998,0.420104686907635
202,SIRPA,-0.2285714285714285,0.41256617049636035
9,C1QA,-0.23928571428571427,0.39037931192023567
230,TNFSF13,-0.24285714285714283,0.38312834183934175
195,PTX3,-0.25,0.36884629178393047
69,CXCL13,-0.25,0.36884629178393047
48,CEACAM5,-0.25357142857142856,0.3618161038158896
117,IL15,-0.2571428571428571,0.35486036365060913
121,IL17A|IL17F,-0.2607142857142857,0.34797945986279355
227,TNFSF10,-0.2607142857142857,0.34797945986279355
33,CCL8,-0.2607142857142857,0.34797945986279355
198,SCG2,-0.2678571428571428,0.3344436005123538
12,CCL11,-0.2714285714285714,0.3277893068411727
157,IL6ST,-0.27499999999999997,0.3212111733193767
238,TREM2,-0.2785714285714285,0.3147094732307908
7,BMP7,-0.2821428571428571,0.30828445682005556
144,IL32,-0.28571428571428564,0.3019363513225493
122,IL17B,-0.28928571428571426,0.29566536100437785
228,TNFSF11,-0.28928571428571426,0.29566536100437785
77,CXCL9,-0.28928571428571426,0.29566536100437785
133,IL1R2,-0.3107142857142856,0.2596673973372179
66,CXCL10,-0.3107142857142856,0.2596673973372179
159,IL7R,-0.3178571428571428,0.24829056581701822
81,FGF19,-0.32499999999999996,0.23722543823723408
180,MMP3,-0.3321428571428571,0.2264717590707243
20,CCL20,-0.37499999999999994,0.16843274984674558
197,S100A9,-0.38214285714285706,0.15982362998696728
126,IL17RB,-0.38928571428571423,0.15151193679039388
86,FLT3LG,-0.39642857142857135,0.1434945314423536
123,IL17C,-0.39999999999999997,0.13959512937214466
124,IL17F,-0.42142857142857143,0.11769939585541649
146,IL34,-0.44999999999999996,0.09235737494812256
63,CX3CL1,-0.46071428571428563,0.08393338135031411
187,NGF,-0.5142857142857142,0.04983923347142064
242,VEGFD,-0.5964285714285712,0.018931924687865177
