,Feature,Correlation,P-value
224,TNFRSF4,-0.2964285714285714,0.28335542843426287
197,S100A9,-0.2964285714285714,0.28335542843426287
76,CXCL8,-0.2964285714285714,0.28335542843426287
231,TNFSF14,-0.3,0.2773167803683839
38,CD276,-0.30357142857142855,0.2713558360038685
153,IL5,-0.3142857142857143,0.2539400163236714
208,THBS2,-0.3142857142857143,0.2539400163236714
79,EPO,-0.33571428571428563,0.22121153763932594
15,CCL15,-0.3428571428571428,0.21092379341475206
88,FTH1,-0.34642857142857136,0.2058959920935512
37,CD274,-0.35357142857142854,0.19607167843419876
21,CCL21,-0.3571428571428571,0.19127476343157904
184,MUC16,-0.37499999999999994,0.16843274984674558
190,OSMR,-0.37499999999999994,0.16843274984674558
167,LAMP3,-0.37857142857142856,0.1640908265592207
59,CST7,-0.38928571428571423,0.15151193679039388
25,CCL25,-0.38928571428571423,0.15151193679039388
138,IL22,-0.4142857142857142,0.12471544223657098
90,GDF15,-0.42499999999999993,0.11429547548052224
123,IL17C,-0.4642857142857142,0.08125098075549499
129,IL18R1,-0.4892857142857142,0.06416038631454055
228,TNFSF11,-0.4928571428571427,0.06195100671416867
198,SCG2,-0.5249999999999999,0.04448390580010643
57,CSF3,-0.5392857142857141,0.038021656263558
69,CXCL13,-0.5678571428571427,0.02722835670886186
